Name,Team,Position,Games,FGM,FGA,FTM,FTA,Rebounds,Assists,Steals,Blocks,TO,Points
Carmelo Anthony,,SF PF C,78,279.8,649.9,114.3,133.4,268.8,103.3,49.1,25.1,83.2,768.3
Tim Hardaway Jr.,DAL,SG SF,65,338,795.4,124.4,156.5,221.7,131.4,51.2,8,57.2,966.9
Andrew Wiggins,GS,SF PF,76,484.4,1045.1,180.5,261.8,389.2,174.5,77.2,56.2,120.4,1314.9
Ricky Rubio,CLE,SG PG,37,115.3,296.9,77.2,88.3,103.3,200.6,44.1,5,71.2,353.1
Gorgui Dieng,SA,C,56,117.4,242.7,58.2,73.2,281.8,67.2,33.1,31.1,45.1,339
Zach LaVine,CHI,SG SF PG,72,631.9,1323,314.9,376.1,328,321,48.1,25.1,188.6,1777.3
Andre Drummond,CHI,C,76,262.8,493.5,105.3,184.6,656,123.4,76.2,65.2,131.4,631.9
Kentavious Caldwell-Pope,DEN,SG SF,77,331,745.2,126.4,149.4,235.7,143.4,77.2,22.1,87.3,937.8
D.J. Augustin,,SG PG,79,181.5,447.3,109.3,121.4,98.3,233.7,32.1,0,79.2,549.6
Spencer Dinwiddie,DAL,SG SF,72,372.1,894.7,273.8,353.1,281.8,399.2,52.2,15,136.4,1152.4
Danilo Gallinari,BOS,PF,58,127.4,292.9,86.3,95.3,214.6,51.2,14,6,25.1,399.2
Jusuf Nurkic,POR,C,67,383.1,731.2,188.6,286.9,708.1,197.6,75.2,51.2,168.5,973.9
JaVale McGee,DAL,C,75,291.9,492.5,90.3,135.4,508.5,49.1,27.1,86.3,101.3,676
Gary Harris,ORL,SG SF,67,208.6,499.5,83.2,99.3,137.4,101.3,55.2,12,57.2,597.8
Gordon Hayward,CHA,SG SF PF,63,387.2,811.4,169.5,199.6,304.9,235.7,59.2,25.1,110.3,1061.2
Derrick Favors,,C,56,129.4,219.7,32.1,49.1,246.7,37.1,23.1,30.1,25.1,295.9
Enes Freedom,,C,67,188.6,332,76.2,96.3,367.1,50.2,20.1,29.1,55.2,455.4
Trey Burke,OKC,SG PG,79,120.4,284.9,34.1,39.1,55.2,78.2,30.1,4,35.1,315.9
Alec Burks,DET,SG SF PG,75,233.7,570.7,156.5,181.5,309.9,171.5,56.2,18.1,72.2,740.2
Rodney Hood,,SF PF,79,149.4,362.1,37.1,44.1,105.3,65.2,32.1,8,32.1,382.1
Rudy Gobert,MIN,C,73,401.2,578.7,278.8,429.3,955.9,83.2,51.2,152.5,127.4,1081.2
Joe Ingles,MIL,SG SF PF,43,114.3,256.8,27.1,34.1,125.4,149.4,22.1,4,46.1,329
Marcus Morris Sr.,LAC,PF C,66,289.9,646.9,115.3,137.4,274.8,95.3,35.1,21.1,80.2,810.4
Markieff Morris,BKN,PF C,79,163.5,371.1,39.1,49.1,199.6,70.2,21.1,16,48.1,434.3
Goran Dragic,CHI,SG PG,59,197.6,474.4,98.3,121.4,140.4,215.6,38.1,8,96.3,562.7
Eric Bledsoe,,SG PG,78,332,757.3,159.5,213.6,251.8,284.9,72.2,21.1,128.4,942.8
Alex Len,SAC,C,79,146.4,257.8,62.2,95.3,223.7,47.1,19.1,41.1,47.1,364.1
